number of clusters = 1
Cluster 0 (276) : 
0: Input vars: (0x6), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 
62: Input vars: 1-to-32Z(0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

63: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

64: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

65: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

66: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

67: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

68: Input vars: 1-to-32Z(0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

69: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

70: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

71: Input vars: (0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

72: Input vars: (0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

73: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

74: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

75: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

76: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

77: Input vars: (0xa), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

78: Input vars: (0x1), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

79: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

80: Input vars: (0xa), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

81: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

82: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

83: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

84: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

85: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

86: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

87: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

88: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

89: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

