number of clusters = 909
Cluster 0 (10) : 
0: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 
4568: Input vars: (0x7), const(0x40), const(0x1), const(0x41), and (0x0) 

4899: Input vars: (0x7), const(0x40), const(0x1), const(0x41), and (0x0) 

4907: Input vars: (0x7), const(0x4b9db94), const(0x42f56ed0), const(0x4b9db95), and (0x0) 

Cluster 4 (1) : 
4: Input vars: const(0x0), const(0x20), 32-to-32C(0x2), const(0x1), and (0x0) 

Cluster 5 (1) : 
5: Input vars: const(0x18), const(0x4), (0x1), const(0x5), and (0x0) 

Cluster 6 (113) : 
7: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

11: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

18: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

29: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

162: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

163: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

173: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

353: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

498: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

501: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

666: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

669: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

676: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

678: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

693: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

836: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

844: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

857: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

871: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1039: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1050: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1070: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

1235: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1243: Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

1250: Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

