number of clusters = 364
Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), 32-to-32C(0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Input vars: (0xa), const(0x2), (0x4), const(0x3), and (0x0) 

Cluster 7 (7) : 
Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x5), and (0x0) 

Input vars: const(0x7ffd2d88), const(0x10), 32-to-32C(0x3), 32-to-1(0x3), and (0x0) 

Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x5), and (0x0) 

Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x5), and (0x0) 

Input vars: const(0xfffd2d88), const(0x10), (0x3), 32-to-1(0x9), and (0x0) 

Input vars: const(0xfffd2d88), const(0x10), 32-to-32C(0x3), 32-to-1(0x3), and (0x0) 

Input vars: const(0xfffd2d88), const(0x10), 32-to-32C(0x3), 1-to-32S(0x3), and (0x0) 

Cluster 8 (30) : 
Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: 1-to-32Z(0x0), (0x0), const(0x80000003), (0x0), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: 1-to-32Z(0x0), (0x0), const(0x3), (0x0), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: 1-to-32Z(0x0), (0x0), const(0x3), 32-to-1(0x1), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: 1-to-32Z(0x0), (0x0), const(0x3), 32-to-1(0x1), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), 32-to-32C(0x0), const(0x3), and (0x0) 

Input vars: 1-to-32Z(0x0), (0x0), const(0x3), (0x0), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: 1-to-32Z(0x0), (0x0), const(0x3), 32-to-1(0x1), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Input vars: (0x0), const(0x2), (0x0), const(0x3), and (0x0) 

Cluster 9 (9) : 
Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), const(0x3001), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x3), 32-to-1(0x2), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Input vars: 1-to-32Z(0x8), (0x8), const(0x80000003), 32-to-1(0xa), and (0x0) 

Cluster 10 (2) : 
Input vars: const(0x50000018), const(0x6ffff0d9), 32-to-1(0x2), const(0x0), and 8-to-32S(0x0) 

