number of clusters = 110
Cluster 1 (67) : 
521: Input vars: (0x8), (0x0), (0x8), and (0x0) 

Cluster 5 (2) : 
6: Input vars: (0xa), 16-to-32Z(0xa), const(0x3f), and (0x0) 

326: Input vars: const(0x3f), 32-to-32C(0xa), (0xa), and 16-to-32Z(0x0) 

Cluster 6 (4) : 
8: Input vars: (0x0), const(0x0), const(0xff), and (0x0) 

197: Input vars: (0x0), const(0x0), const(0xff), and (0x0) 

303: Input vars: (0x0), const(0x0), const(0xff), and (0x0) 

397: Input vars: (0x0), const(0x0), const(0xff), and (0x0) 

Cluster 7 (8) : 
9: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32S(0x0) 

203: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32Z(0x0) 

231: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32S(0x0) 

308: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32Z(0x0) 

385: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32Z(0x0) 

439: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32S(0x0) 

518: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32S(0x0) 

524: Input vars: 32-to-32C(0x2), const(0x0), const(0x800003ff), and 16-to-32S(0x0) 

Cluster 8 (1) : 
10: Input vars: 32-to-32C(0x4), const(0x80000008), const(0x8000000a), and 1-to-32Z(0x0) 

Cluster 9 (1) : 
11: Input vars: (0xa), const(0x80000000), (0x2), and (0x0) 

Cluster 10 (3) : 
12: Input vars: const(0x1), (0x0), const(0x1), and (0x0) 

173: Input vars: const(0x1), (0x0), const(0x1), and (0x0) 

543: Input vars: const(0x1), (0x0), const(0x1), and (0x0) 

Cluster 11 (6) : 
14: Input vars: 32-to-32C(0x5), const(0x0), const(0x8000801f), and 8-to-32Z(0x0) 

37: Input vars: 32-to-32C(0x5), const(0x0), const(0x8000001f), and 16-to-32Z(0x0) 

141: Input vars: 32-to-32C(0x5), const(0x0), const(0x8000001f), and 8-to-32Z(0x0) 

205: Input vars: 32-to-32C(0x5), const(0x0), const(0x8000001f), and 8-to-32S(0x0) 

277: Input vars: 32-to-32C(0x5), const(0x0), const(0x8000001f), and 16-to-32S(0x0) 

489: Input vars: 32-to-32C(0x5), const(0x0), const(0x8000001f), and 8-to-32Z(0x0) 

Cluster 12 (9) : 
15: Input vars: (0x2), (0x2), (0x3), and (0x0) 

27: Input vars: (0x2), (0x2), (0x3), and (0x0) 

194: Input vars: (0x3), const(0x80000000), (0x2), and (0x0) 

216: Input vars: (0x3), (0x3), (0x2), and (0x0) 

275: Input vars: (0x3), (0x3), (0x2), and (0x0) 

467: Input vars: (0x2), (0x2), (0x3), and (0x0) 

527: Input vars: (0x2), (0x2), (0x3), and (0x0) 

531: Input vars: (0x2), (0x2), (0x3), and (0x0) 

542: Input vars: (0x2), (0x2), (0x3), and (0x0) 

Cluster 13 (7) : 
16: Input vars: 16-to-32S(0x0), 16-to-32S(0x8), (0x0), and 16-to-32S(0x0) 

19: Input vars: 16-to-32S(0x8), 16-to-32S(0x0), 32-to-32C(0x8), and 16-to-32S(0x0) 

125: Input vars: 16-to-32S(0x8), 16-to-32S(0x0), 32-to-32C(0x8), and 16-to-32S(0x0) 

195: Input vars: 16-to-32S(0x8), 16-to-32S(0x0), 32-to-32C(0x8), and 16-to-32S(0x0) 

254: Input vars: 16-to-32S(0x0), 16-to-32S(0x8), 32-to-32C(0x0), and 16-to-32S(0x0) 

425: Input vars: 16-to-32S(0x8), 16-to-32S(0x0), 32-to-32C(0x8), and 16-to-32S(0x0) 

447: Input vars: 16-to-32S(0x8), 16-to-32S(0x0), const(0x60000000), and (0x0) 

Cluster 14 (32) : 
17: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

20: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

49: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

65: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

126: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

142: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

143: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

179: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

190: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

191: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

206: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

208: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

239: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

290: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

312: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

333: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

351: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

369: Input vars: (0x3), const(0x0), const(0x3f), and (0x0) 

